attributes.databaseEngine,attributes.deploymentOption,attributes.usagetype,attributes.regionCode,attributes.instanceType,attributes.instanceFamily,attributes.vcpu,attributes.clockSpeed,attributes.physicalProcessor,attributes.memory,attributes.storage,attributes.networkPerformance,attributes.processorArchitecture,attributes.databaseEdition,attributes.licenseModel,attributes.instanceTypeFamily,attributes.normalizationSizeFactor,attributes.dedicatedEbsThroughput,attributes.enhancedNetworkingSupported,attributes.processorFeatures,pricePerUnit
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.t4g.medium,us-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1710000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m6i.8xl,us-west-1,db.m6i.8xlarge,General purpose,32,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,12.5 Gbps,x86,,No license required,M6i,128,,,,6.2400000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m5.xl,us-west-1,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,8,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.3900000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.t3.small,us-west-1,db.t3.small,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),2 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,2,,,,0.0880000000
MySQL,Single-AZ,USW1-InstanceUsage:db.t4g.large,us-west-1,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1710000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.2xl,us-west-1,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,16,Up to 3500 Mbps,Yes,,1.0600000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6g.xl,us-west-1,db.m6g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,8,,,,0.3630000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.xl,us-west-1,db.r6g.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.4740000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.t3.2xl,us-west-1,db.t3.2xlarge,General purpose,8,,Intel Skylake E5 2686 v5 (2.5 GHz),32 GiB,EBS Only,Moderate,64-bit,,No license required,T3,32,,,,1.4080000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t3.medium,us-west-1,db.t3.medium,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),4 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,2,,,,0.1060000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.8xl,us-west-1,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,128,,,,6.4960000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r5.16xl,us-west-1,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,128,,,,8.9600000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6g.xl,us-west-1,db.m6g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,16,,,,0.7250000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.12xl,us-west-1,db.m5.12xlarge,General purpose,48,2.5 GHz,Intel Xeon Platinum 8175,192 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,192,6000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",9.3600000000
MySQL,Single-AZ,USW1-InstanceUsage:db.t3.micro,us-west-1,db.t3.micro,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),1 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,0.5,,,,0.0220000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m5.8xl,us-west-1,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,64,,,,3.2480000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m6g.16xl,us-west-1,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,256,,,,11.0930000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.r6g.16xl,us-west-1,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,256,,,,16.1140000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r6g.16xl,us-west-1,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,256,,,,15.1790000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t4g.medium,us-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0950000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.large,us-west-1,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2860000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6i.24xl,us-west-1,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,192,,,,9.7440000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.t3.2xl,us-west-1,db.t3.2xlarge,General purpose,8,,Intel Skylake E5 2686 v5 (2.5 GHz),32 GiB,EBS Only,Moderate,64-bit,,No license required,T3,32,,,,1.5200000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.16xl,us-west-1,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,128,,,,9.1650000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.4xl,us-west-1,db.m5.4xlarge,General purpose,16,2.5 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,64,2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",3.1200000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6g.16xl,us-west-1,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,256,,,,11.6050000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.xl,us-west-1,db.r6g.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.5730000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.24xl,us-west-1,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,192,14000 Mbps,Yes,,12.7200000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6i.large,us-west-1,db.m6i.large,General purpose,2,,Intel Xeon Scalable Ice Lake,8 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,8,,,,0.4060000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.4xl,us-west-1,db.r5.4xlarge,Memory optimized,16,Up to 3.1 GHz,Intel Xeon Platinum 8175,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,32,3500 Mbps,Yes,,2.1200000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.t4g.2xlarge,us-west-1,db.t4g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,32,,,,1.3660000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r5.24xl,us-west-1,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,192,14000 Mbps,Yes,,13.4400000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m5.2xl,us-west-1,db.m5.2xlarge,General purpose,8,2.5 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,16,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.8120000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.8xl,us-west-1,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,64,,,,4.5820000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r5.16xl,us-west-1,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,128,,,,10.2400000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.16xl,us-west-1,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,128,,,,7.5900000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r5.xl,us-west-1,db.r5.xlarge,Memory optimized,4,Up to 3.1 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,8,Up to 3500 Mbps,Yes,,0.5600000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r5.2xl,us-west-1,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,32,Up to 3500 Mbps,Yes,,2.1200000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.large,us-west-1,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2860000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.8xl,us-west-1,db.m5.8xlarge,General purpose,32,,Intel Xeon Platinum 8175,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,128,,,,6.2400000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m5.xl,us-west-1,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,8,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.4060000000
MySQL,Single-AZ,USW1-InstanceUsage:db.t4g.2xlarge,us-west-1,db.t4g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,16,,,,0.6830000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6g.8xl,us-west-1,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,64,,,,2.7730000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m6g.8xl,us-west-1,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,128,,,,5.5470000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.t3.xl,us-west-1,db.t3.xlarge,General purpose,4,,Intel Skylake E5 2686 v5 (2.5 GHz),16 GiB,EBS Only,Moderate,64-bit,,No license required,T3,16,,,,0.7040000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m6i.12xl,us-west-1,db.m6i.12xlarge,General purpose,48,,Intel Xeon Scalable Ice Lake,192 GiB,EBS Only,18.75 Gbps,x86,,No license required,M6i,192,,,,9.3600000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.24xl,us-west-1,db.m5.24xlarge,General purpose,96,2.5 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M5,384,12000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",19.4880000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6i.2xl,us-west-1,db.r6i.2xlarge,Memory optimized,8,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,16,,,,1.2800000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6i.24xl,us-west-1,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,384,,,,19.4880000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m6i.16xl,us-west-1,db.m6i.16xlarge,General purpose,64,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,25 Gbps,x86,,No license required,M6i,256,,,,12.4800000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.16xl,us-west-1,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,128,,,,9.1650000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.2xl,us-west-1,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,1.1460000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.r6g.large,us-west-1,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.5040000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6g.2xl,us-west-1,db.m6g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,16,,,,0.7250000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.r6g.xl,us-west-1,db.r6g.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,1.0070000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.r5.4xl,us-west-1,db.r5.4xlarge,Memory optimized,16,Up to 3.1 GHz,Intel Xeon Platinum 8175,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,64,3500 Mbps,Yes,,4.4800000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.4xl,us-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,2.2910000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.16xl,us-west-1,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,128,,,,8.4800000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6i.24xl,us-west-1,db.r6i.24xlarge,Memory optimized,96,,Intel Xeon Scalable Ice Lake,768 GiB,EBS Only,37.5 Gbps,x86,,No license required,R6i,192,,,,15.3600000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t4g.small,us-west-1,db.t4g.small,General purpose,2,,AWS Graviton2,2 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,1,,,,0.0430000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.t4g.micro,us-west-1,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,1,,,,0.0430000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r6g.8xl,us-west-1,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,128,,,,7.5900000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.t4g.micro,us-west-1,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,1,,,,0.0430000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.12xl,us-west-1,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,96,,,,5.6920000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.t4g.small,us-west-1,db.t4g.small,General purpose,2,,AWS Graviton2,2 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0850000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r5.large,us-west-1,db.r5.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,8,Up to 3500 Mbps,Yes,,0.5300000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r5.2xl,us-west-1,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,16,Up to 3500 Mbps,Yes,,1.2800000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m5.16xl,us-west-1,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,128,,,,6.4960000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t3.2xl,us-west-1,db.t3.2xlarge,General purpose,8,,Intel Skylake E5 2686 v5 (2.5 GHz),32 GiB,EBS Only,Moderate,64-bit,,No license required,T3,16,,,,0.7600000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.large,us-west-1,db.r5.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,4,Up to 3500 Mbps,Yes,,0.2650000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.2xl,us-west-1,db.m5.2xlarge,General purpose,8,2.5 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,32,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",1.5600000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.12xl,us-west-1,db.m5.12xlarge,General purpose,48,2.5 GHz,Intel Xeon Platinum 8175,192 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M5,192,6000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",9.7440000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.4xl,us-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,2.2910000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.t3.large,us-west-1,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,8,,,,0.3800000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6g.8xl,us-west-1,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,128,,,,5.8030000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.12xl,us-west-1,db.r5.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,96,7000 Mbps,Yes,,6.3600000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6g.4xl,us-west-1,db.m6g.4xlarge,General purpose,16,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,32,,,,1.4510000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.r5.2xl,us-west-1,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,32,Up to 3500 Mbps,Yes,,2.2400000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.4xl,us-west-1,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,1.8970000000
